"ds","yhat","yhat_lower","yhat_upper","trend"
1961-01-01,58.9897525389388,58.8908812523821,59.0908579904358,2.16305702533735
1962-01-01,59.16421034328,59.0639542694136,59.2654207963585,2.31042836793147
1963-01-01,59.3090203720956,59.2024647194435,59.4092305916521,2.45779971052559
1964-01-01,59.4319844992267,59.3332703056065,59.5320118641958,2.60468432319664
1965-01-01,59.5786668730663,59.4826283275454,59.6880730147997,2.75197135946404
1966-01-01,59.7133341370708,59.6091322942017,59.8082501644643,2.85955216172227
1967-01-01,59.8183536255501,59.71656302763,59.9208901997933,2.9671329639805
1968-01-01,59.8236230697777,59.7212051600087,59.9249483878827,2.99632289375322
1969-01-01,59.8522883095402,59.7557588128934,59.9547635679141,3.02559279593629
1970-01-01,59.9085647116581,59.8068498330123,60.010724147211,3.05478273630958
1971-01-01,59.9357625908068,59.8259956125733,60.0386840654821,3.08454192924011
1972-01-01,59.941601298195,59.8402283238721,60.0450397698912,3.11430112217063
1973-01-01,60.0788967760797,59.9780299053296,60.181496215971,3.25220126247867
1974-01-01,60.2435066017956,60.1420601824197,60.3436966845898,3.38972462644706
1975-01-01,60.341777562628,60.2300988029763,60.4459813273547,3.49055690105959
1976-01-01,60.4186893516966,60.3122428809291,60.5208705172047,3.59138917567213
1977-01-01,60.508592670011,60.4089796699476,60.6069154976029,3.6818971564103
1978-01-01,60.6259398229321,60.5175590853959,60.7289876239682,3.77215784758362
1979-01-01,60.6712120422271,60.5662093592782,60.7722882756225,3.81999138065792
1980-01-01,60.6951250897598,60.5847025518586,60.8059751315729,3.86782491373222
1981-01-01,60.7424850292521,60.6358050732928,60.8449682199373,3.91578951564549
1982-01-01,60.8174050420845,60.7155274200382,60.9180836192631,3.96362306673386
1983-01-01,60.8627634474685,60.7610288170809,60.9614328371018,4.01154278591331
1984-01-01,60.8867626811161,60.783082485763,60.9858617481468,4.05946250509276
1985-01-01,60.934208125828,60.82747124208,61.0426084217126,4.10751261222945
1986-01-01,60.9786985753424,60.8768790637587,61.076430903717,4.12491659999386
1987-01-01,60.9935412493254,60.88511957255,61.0949612619522,4.14232058775827
1988-01-01,60.9864450412144,60.8819890788294,61.0887574188649,4.1591448651852
1989-01-01,61.0027107501325,60.9010856892019,61.1063172700146,4.17601523652288
1990-01-01,61.0325068261788,60.9331620063848,61.1368393154255,4.17872485082835
1991-01-01,61.032655126703,60.9341983445621,61.1339797213839,4.18143446513383
1992-01-01,60.9819871383224,60.8792723929052,61.0744107628307,4.15468696230521
1993-01-01,60.9545616922349,60.8453076141737,61.0479854982576,4.12786617864693
1994-01-01,60.9549006507336,60.8445135014684,61.0550831707198,4.10111867538085
1995-01-01,60.9255918337011,60.819315275357,61.0307522914215,4.07437117211478
1996-01-01,60.8751370330935,60.7751032592883,60.9775392441923,4.04783685709221
1997-01-01,60.8479253589125,60.748374611746,60.9444930356721,4.02122984531615
1998-01-01,60.8484775049738,60.7514283454607,60.9526628183595,3.99469552962759
1999-01-01,60.8193818755177,60.7127936494676,60.9192666656464,3.96816121393903
2000-01-01,60.7684890040308,60.6640989576893,60.8712384909498,3.94118882800679
2001-01-01,60.7318655014703,60.6420308895217,60.834343246808,3.90516998788161
2002-01-01,60.7230315352364,60.6249250799909,60.827500895427,3.86924955988793
2003-01-01,60.684549789243,60.5873398458709,60.7926681843647,3.83332912768872
2004-01-01,60.6247088715147,60.5297222360612,60.7325538105584,3.7974086954895
2005-01-01,60.5880853768511,60.4884030217498,60.690429993618,3.76138986328612
2006-01-01,60.5792514185538,60.4813867838001,60.6790262927282,3.72546944319259
2007-01-01,60.5496934500147,60.4511764483146,60.6603710817356,3.6984727884697
2008-01-01,60.4987763097543,60.3995636899429,60.6031169718792,3.67147613374681
2009-01-01,60.4709297735037,60.3645197152622,60.570961691211,3.64423425989183
2010-01-01,60.4708487927386,60.3646121816468,60.5758093576226,3.61706681738618
2011-01-01,60.4411200364761,60.3343694465272,60.5471253131266,3.58989937488052
2012-01-01,60.390032108404,60.291744051104,60.4965108001229,3.56273193237487
2013-01-01,60.3621855721561,60.2620848853476,60.4686322703469,3.53549005851989
2014-01-01,60.3621045913546,60.2568070058875,60.4715062089953,3.50832261601424
2015-01-01,60.3323758350845,60.2194087946936,60.4348266280741,3.48115517350859
2016-01-01,60.2812879070563,60.1799426714067,60.3811242258287,3.45398773100294
2017-01-01,60.2534413707645,60.1509903660085,60.3482402930448,3.42674585714795
2018-01-01,60.2533603899994,60.156892182763,60.3615825688382,3.3995784146423
2019-01-01,60.2236316336514,60.1216346993559,60.3256857093162,3.37241097213665
2020-01-01,60.1725437056945,60.0735830761483,60.2814350976532,3.345243529631
2021-01-01,60.1446971693662,60.0331550092258,60.2412746991717,3.31800165577602
2022-01-01,60.144616188625,60.0393123100578,60.2446890796708,3.29083421327037
2023-01-01,60.1148874323492,60.0146759311025,60.2150730066217,3.26366677076472
2024-01-01,60.0637995042575,59.9609981077998,60.1749035388787,3.23649932825906
2025-01-01,60.035952968064,59.9014696212027,60.1627428819381,3.20925745440408
2026-01-01,60.0358719872423,59.8842299051683,60.1750251142218,3.18209001189843
2027-01-01,60.0061432309099,59.834765418538,60.1894214121328,3.15492256939278
2028-01-01,59.9550553029352,59.7297253272806,60.1626802614511,3.12775512688713
2029-01-01,59.927208766627,59.6767574437267,60.1726495234266,3.10051325303215
2030-01-01,59.927127785899,59.6306622034443,60.210961628854,3.07334581052649
2031-01-01,59.8973990295712,59.5576380717443,60.2248527237595,3.04617836802084
2032-01-01,59.846311101476,59.4477007255766,60.2159084089609,3.01901092551519
2033-01-01,59.8184645652287,59.3684025730836,60.2435045446466,2.99176905166021
